Yr,ID_planta,Diametro_cm,Altura_cm,Botones ,Inflorescencia
A2019,1,16,10,0,no
A2019,2,14,13,5,no
A2019,3,11,12,4,no
A2019,4,12,10,4,no
A2019,5,12,15,0,si
A2019,6,13,10,5,no
A2019,7,15,17,6,si
A2019,8,13,18,4,si
A2019,9,14,14,5,no
A2019,10,13,14,7,no
A2019,11,20,16,0,si
A2019,12,12,14,4,no
A2019,13,15,12,1,no
A2019,14,12,14,4,no
A2019,15,11,13,4,no
A2019,16,12,9,1,no
A2019,17,11,13,7,no
A2019,18,12,13,5,no
A2019,19,14,9,2,no
A2019,20,9,9,1,no
A2019,21,12,13,0,no
A2019,22,11,10,1,no
A2019,23,10.5,8.5,0,no
A2019,24,9.5,9.5,0,no
A2019,25,12,11,0,no
A2019,26,9,8.5,4,no
A2019,27,11,9,4,no
A2019,28,11.5,9,0,no
A2019,29,8.5,7.5,0,no
A2019,30,12.5,11.5,1,no
A2019,31,9,9.5,1,no
A2019,32,10,9,0,no
A2019,33,10,10.5,0,no
A2019,34,8.5,6,0,no
A2019,35,12,12.5,0,no
A2019,36,6.5,6.5,0,no
A2019,37,10,9.5,0,no
A2019,38,9,6.5,0,no
A2019,39,10,8,0,no
A2019,40,12,9,1,no
A2019,41,11,10,0,no
A2019,42,11,11,2,no
A2019,43,10,10,0,no
A2019,44,12,11,0,no
A2019,45,11,10,0,no
A2019,46,11,10.5,0,no
A2019,47,12,10.5,3,no
A2019,48,12,11,0,no
A2019,49,6.5,6,0,no
A2019,50,8,7.5,0,no
A2019,51,10,9.5,0,no
A2019,52,10.5,9.5,0,no
A2019,53,10,8.5,0,no
A2019,54,10,8.5,1,si
A2019,55,12.5,9,1,no
A2019,56,10.5,10,2,no
A2019,57,10,8,3,no
A2019,58,9,8,0,no
A2019,59,11,10,0,no
A2019,60,10,9.5,0,no
A2019,61,12,12.5,0,no
A2019,62,11.5,9,0,no
A2019,63,13,11,0,si
A2019,64,10,9,1,no
A2019,65,12,11,0,no
A2019,66,13,12,0,no
A2019,67,11.5,12.5,1,no
A2019,68,13,10.5,0,no
A2019,69,11,11,0,no
A2019,70,11,11,0,no
A2019,71,11,7,0,no
A2019,72,12.5,11,0,no
A2019,73,9,8,0,no
A2019,74,10,9,0,no
A2019,75,10.5,10,2,no
A2019,76,11,10,0,no
A2019,77,13,12,2,no
A2019,78,10,9.5,0,no
A2019,79,9,8.5,0,no
A2019,80,10,8.5,0,no
