planta,ind,radio,reproductiva,flores,categoria
planta 1,112,2.2,no,0,1
planta 1,6,4.1,si,1,1
planta 1,4,4.3,si,3,1
planta 1,9,4.4,si,8,1
planta 1,10,5.1,no,0,1
planta 1,7,5.5,no,0,1
planta 1,8,5.5,no,0,1
planta 1,114,6.9,no,0,1
planta 1,32,7.4,no,0,1
planta 1,2,8.1,si,20,1
planta 1,108,8.1,no,0,1
planta 1,21,9.1,no,0,1
planta 1,38,9.1,no,0,1
planta 1,39,9.8,no,0,1
planta 1,3,10,no,0,1
planta 1,528,10.1,no,0,2
planta 1,34,10.2,no,0,2
planta 1,219,10.4,no,0,2
planta 1,261,10.5,no,0,2
planta 1,436,10.5,no,0,2
planta 1,328,10.6,no,0,2
planta 1,466,10.8,no,0,2
planta 1,526,10.8,no,0,2
planta 1,529,10.8,no,0,2
planta 1,447,10.9,no,0,2
planta 1,337,11,no,0,2
planta 1,229,11.2,no,0,2
planta 1,410,11.2,no,0,2
planta 1,487,11.2,no,0,2
planta 1,175,11.3,no,0,2
planta 1,468,11.4,no,0,2
planta 1,142,11.6,no,0,2
planta 1,504,11.6,no,0,2
planta 1,492,11.9,no,0,2
planta 1,398,12.1,no,0,2
planta 1,170,12.5,no,0,2
planta 1,31,12.7,no,0,2
planta 1,432,12.8,no,0,2
planta 1,399,12.9,si,2,2
planta 1,512,13,no,0,2
planta 1,513,13.29,no,0,2
planta 1,197,13.3,no,0,2
planta 1,363,13.3,no,0,2
planta 1,67,13.4,no,0,2
planta 1,37,13.6,no,0,2
planta 1,498,13.69,si,10,2
planta 1,497,13.9,no,0,2
planta 1,25,14.1,no,0,2
planta 1,191,14.2,no,0,2
planta 1,44,14.4,no,0,2
planta 1,225,14.4,no,0,2
planta 1,264,14.5,no,0,2
planta 1,482,14.5,no,0,2
planta 1,341,15.11,si,1,2
planta 1,499,15.4,no,0,2
planta 1,101,15.5,no,0,2
planta 1,378,15.7,no,0,2
planta 1,33,15.8,no,0,2
planta 1,469,15.82,no,0,2
planta 1,96,15.9,no,0,2
planta 1,445,16,no,0,2
planta 1,483,16.02,no,0,2
planta 1,184,16.1,no,0,2
planta 1,200,16.3,no,0,2
planta 1,94,16.4,no,0,2
planta 1,353,16.56,no,0,2
planta 1,412,16.6,no,0,2
planta 1,306,16.8,no,0,2
planta 1,213,16.9,no,0,2
planta 1,310,16.9,no,0,2
planta 1,464,16.9,no,0,2
planta 1,484,16.9,no,0,2
planta 1,106,17,no,0,2
planta 1,189,17.3,no,0,2
planta 1,227,17.3,no,0,2
planta 1,202,17.4,no,0,2
planta 1,450,17.4,no,0,2
planta 1,188,17.5,no,0,2
planta 1,511,17.5,no,0,2
planta 1,68,17.6,no,4,2
planta 1,192,17.6,no,0,2
planta 1,206,17.9,no,0,2
planta 1,83,18,no,0,2
planta 1,439,18,no,0,2
planta 1,27,18.1,no,0,2
planta 1,524,18.1,no,0,2
planta 1,53,18.2,no,0,2
planta 1,455,18.3,no,0,2
planta 1,1,18.4,si,12,2
planta 1,220,18.51,no,0,2
planta 1,375,19.1,no,0,2
planta 1,509,19.2,no,0,2
planta 1,23,19.4,no,0,2
planta 1,208,19.4,no,0,2
planta 1,407,19.79,no,0,2
planta 1,530,19.8,no,0,2
planta 1,57,19.9,no,0,2
planta 1,141,19.9,no,0,2
planta 1,150,19.9,no,0,2
planta 1,444,19.98,no,0,2
planta 1,222,20,no,0,2
planta 1,35,20.2,no,0,3
planta 1,356,20.35,no,0,3
planta 1,207,20.4,no,0,3
planta 1,283,20.4,no,0,3
planta 1,118,20.5,no,0,3
planta 1,36,20.6,no,0,3
planta 1,297,20.6,no,0,3
planta 1,30,20.7,no,0,3
planta 1,29,20.8,no,0,3
planta 1,521,21.2,no,0,3
planta 1,110,21.3,no,0,3
planta 1,223,21.3,si,2,3
planta 1,502,21.56,no,0,3
planta 1,165,21.8,no,0,3
planta 1,209,21.8,no,0,3
planta 1,296,21.8,si,6,3
planta 1,422,21.83,no,0,3
planta 1,167,21.9,no,0,3
planta 1,311,21.9,no,0,3
planta 1,367,21.9,no,0,3
planta 1,228,22.1,no,0,3
planta 1,92,22.2,si,2,3
planta 1,117,22.2,no,0,3
planta 1,20,22.3,no,0,3
